model name	: Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz
Sun Oct 27 14:28:35 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX TIT...  On   | 00000000:02:00.0 Off |                  N/A |
| 22%   46C    P8    16W / 250W |      1MiB / 12212MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 52 / 391, loss: 2.12, 				 Avg Accumulated loss: 2.63, 				 Precision: 18.75
	 Minibatch 53 / 391, loss: 2.19, 				 Avg Accumulated loss: 2.62, 				 Precision: 19.53
	 Minibatch 54 / 391, loss: 2.37, 				 Avg Accumulated loss: 2.62, 				 Precision: 20.31
	 Minibatch 55 / 391, loss: 2.00, 				 Avg Accumulated loss: 2.61, 				 Precision: 23.44
	 Minibatch 56 / 391, loss: 2.13, 				 Avg Accumulated loss: 2.60, 				 Precision: 16.41
	 Minibatch 57 / 391, loss: 2.19, 				 Avg Accumulated loss: 2.59, 				 Precision: 22.66
	 Minibatch 58 / 391, loss: 2.03, 				 Avg Accumulated loss: 2.58, 				 Precision: 28.12
	 Minibatch 59 / 391, loss: 2.25, 				 Avg Accumulated loss: 2.57, 				 Precision: 21.88
	 Minibatch 60 / 391, loss: 2.07, 				 Avg Accumulated loss: 2.57, 				 Precision: 18.75
	 Minibatch 61 / 391, loss: 2.13, 				 Avg Accumulated loss: 2.56, 				 Precision: 19.53
	 Minibatch 62 / 391, loss: 2.02, 				 Avg Accumulated loss: 2.55, 				 Precision: 19.53
	 Minibatch 63 / 391, loss: 2.19, 				 Avg Accumulated loss: 2.54, 				 Precision: 23.44
	 Minibatch 64 / 391, loss: 1.96, 				 Avg Accumulated loss: 2.54, 				 Precision: 25.00
	 Minibatch 65 / 391, loss: 2.37, 				 Avg Accumulated loss: 2.53, 				 Precision: 16.41
	 Minibatch 66 / 391, loss: 2.24, 				 Avg Accumulated loss: 2.53, 				 Precision: 19.53
	 Minibatch 67 / 391, loss: 2.15, 				 Avg Accumulated loss: 2.52, 				 Precision: 19.53
	 Minibatch 68 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.52, 				 Precision: 19.53
	 Minibatch 69 / 391, loss: 2.14, 				 Avg Accumulated loss: 2.51, 				 Precision: 21.09
	 Minibatch 70 / 391, loss: 2.12, 				 Avg Accumulated loss: 2.50, 				 Precision: 21.09
	 Minibatch 71 / 391, loss: 2.07, 				 Avg Accumulated loss: 2.50, 				 Precision: 23.44
	 Minibatch 72 / 391, loss: 1.90, 				 Avg Accumulated loss: 2.49, 				 Precision: 25.00
	 Minibatch 73 / 391, loss: 2.12, 				 Avg Accumulated loss: 2.49, 				 Precision: 28.91
	 Minibatch 74 / 391, loss: 2.20, 				 Avg Accumulated loss: 2.48, 				 Precision: 21.88
	 Minibatch 75 / 391, loss: 2.23, 				 Avg Accumulated loss: 2.48, 				 Precision: 19.53
	 Minibatch 76 / 391, loss: 2.01, 				 Avg Accumulated loss: 2.47, 				 Precision: 28.12
	 Minibatch 77 / 391, loss: 2.05, 				 Avg Accumulated loss: 2.47, 				 Precision: 23.44
	 Minibatch 78 / 391, loss: 2.04, 				 Avg Accumulated loss: 2.46, 				 Precision: 22.66
	 Minibatch 79 / 391, loss: 2.09, 				 Avg Accumulated loss: 2.46, 				 Precision: 19.53
	 Minibatch 80 / 391, loss: 2.02, 				 Avg Accumulated loss: 2.45, 				 Precision: 29.69
	 Minibatch 81 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.45, 				 Precision: 25.00
	 Minibatch 82 / 391, loss: 2.01, 				 Avg Accumulated loss: 2.44, 				 Precision: 18.75
	 Minibatch 83 / 391, loss: 2.05, 				 Avg Accumulated loss: 2.44, 				 Precision: 28.91
	 Minibatch 84 / 391, loss: 1.99, 				 Avg Accumulated loss: 2.43, 				 Precision: 28.12
	 Minibatch 85 / 391, loss: 2.05, 				 Avg Accumulated loss: 2.43, 				 Precision: 21.88
	 Minibatch 86 / 391, loss: 1.96, 				 Avg Accumulated loss: 2.42, 				 Precision: 25.00
	 Minibatch 87 / 391, loss: 1.92, 				 Avg Accumulated loss: 2.42, 				 Precision: 25.00
	 Minibatch 88 / 391, loss: 1.95, 				 Avg Accumulated loss: 2.41, 				 Precision: 25.78
	 Minibatch 89 / 391, loss: 2.00, 				 Avg Accumulated loss: 2.41, 				 Precision: 22.66
	 Minibatch 90 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.40, 				 Precision: 21.09
	 Minibatch 91 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.40, 				 Precision: 21.09
	 Minibatch 92 / 391, loss: 2.12, 				 Avg Accumulated loss: 2.39, 				 Precision: 23.44
	 Minibatch 93 / 391, loss: 2.05, 				 Avg Accumulated loss: 2.39, 				 Precision: 22.66
	 Minibatch 94 / 391, loss: 2.05, 				 Avg Accumulated loss: 2.39, 				 Precision: 28.91
	 Minibatch 95 / 391, loss: 2.03, 				 Avg Accumulated loss: 2.38, 				 Precision: 22.66
	 Minibatch 96 / 391, loss: 2.04, 				 Avg Accumulated loss: 2.38, 				 Precision: 22.66
	 Minibatch 97 / 391, loss: 2.00, 				 Avg Accumulated loss: 2.38, 				 Precision: 25.00
