model name	: Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz
Sun Oct 27 14:28:37 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX TIT...  On   | 00000000:02:00.0 Off |                  N/A |
| 34%   52C    P2    96W / 250W |    383MiB /  6083MiB |      6%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     21737      C   python3                                      370MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.37, 				 Avg Accumulated loss: 2.37, 				 Precision: 14.06
	 Minibatch 2 / 391, loss: 2.80, 				 Avg Accumulated loss: 2.59, 				 Precision: 10.94
	 Minibatch 3 / 391, loss: 3.47, 				 Avg Accumulated loss: 2.88, 				 Precision: 14.06
	 Minibatch 4 / 391, loss: 3.25, 				 Avg Accumulated loss: 2.97, 				 Precision: 23.44
	 Minibatch 5 / 391, loss: 3.15, 				 Avg Accumulated loss: 3.01, 				 Precision: 15.62
	 Minibatch 6 / 391, loss: 3.75, 				 Avg Accumulated loss: 3.13, 				 Precision: 16.41
	 Minibatch 7 / 391, loss: 3.82, 				 Avg Accumulated loss: 3.23, 				 Precision: 21.88
	 Minibatch 8 / 391, loss: 4.23, 				 Avg Accumulated loss: 3.36, 				 Precision: 15.62
	 Minibatch 9 / 391, loss: 3.56, 				 Avg Accumulated loss: 3.38, 				 Precision: 17.19
	 Minibatch 10 / 391, loss: 3.84, 				 Avg Accumulated loss: 3.43, 				 Precision: 7.81
	 Minibatch 11 / 391, loss: 4.12, 				 Avg Accumulated loss: 3.49, 				 Precision: 13.28
	 Minibatch 12 / 391, loss: 3.30, 				 Avg Accumulated loss: 3.47, 				 Precision: 14.06
	 Minibatch 13 / 391, loss: 2.95, 				 Avg Accumulated loss: 3.43, 				 Precision: 10.94
	 Minibatch 14 / 391, loss: 3.38, 				 Avg Accumulated loss: 3.43, 				 Precision: 9.38
	 Minibatch 15 / 391, loss: 2.71, 				 Avg Accumulated loss: 3.38, 				 Precision: 11.72
	 Minibatch 16 / 391, loss: 2.43, 				 Avg Accumulated loss: 3.32, 				 Precision: 14.06
	 Minibatch 17 / 391, loss: 2.59, 				 Avg Accumulated loss: 3.28, 				 Precision: 15.62
	 Minibatch 18 / 391, loss: 2.66, 				 Avg Accumulated loss: 3.24, 				 Precision: 21.09
	 Minibatch 19 / 391, loss: 2.32, 				 Avg Accumulated loss: 3.19, 				 Precision: 14.06
	 Minibatch 20 / 391, loss: 2.48, 				 Avg Accumulated loss: 3.16, 				 Precision: 17.19
