model name	: Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz
Sun Oct 27 14:28:42 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX TIT...  On   | 00000000:02:00.0 Off |                  N/A |
| 22%   52C    P2    72W / 250W |    588MiB / 12212MiB |      3%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     23160      C   python3                                      576MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.39, 				 Avg Accumulated loss: 2.39, 				 Precision: 3.91
	 Minibatch 2 / 391, loss: 3.06, 				 Avg Accumulated loss: 2.72, 				 Precision: 10.16
	 Minibatch 3 / 391, loss: 3.91, 				 Avg Accumulated loss: 3.12, 				 Precision: 9.38
	 Minibatch 4 / 391, loss: 4.24, 				 Avg Accumulated loss: 3.40, 				 Precision: 11.72
	 Minibatch 5 / 391, loss: 4.70, 				 Avg Accumulated loss: 3.66, 				 Precision: 18.75
	 Minibatch 6 / 391, loss: 5.15, 				 Avg Accumulated loss: 3.91, 				 Precision: 12.50
	 Minibatch 7 / 391, loss: 5.31, 				 Avg Accumulated loss: 4.11, 				 Precision: 7.81
	 Minibatch 8 / 391, loss: 6.99, 				 Avg Accumulated loss: 4.47, 				 Precision: 17.19
	 Minibatch 9 / 391, loss: 4.36, 				 Avg Accumulated loss: 4.46, 				 Precision: 15.62
	 Minibatch 10 / 391, loss: 7.52, 				 Avg Accumulated loss: 4.76, 				 Precision: 9.38
	 Minibatch 11 / 391, loss: 6.49, 				 Avg Accumulated loss: 4.92, 				 Precision: 14.84
	 Minibatch 12 / 391, loss: 7.02, 				 Avg Accumulated loss: 5.09, 				 Precision: 10.94
	 Minibatch 13 / 391, loss: 5.19, 				 Avg Accumulated loss: 5.10, 				 Precision: 10.94
	 Minibatch 14 / 391, loss: 5.45, 				 Avg Accumulated loss: 5.13, 				 Precision: 10.16
	 Minibatch 15 / 391, loss: 4.03, 				 Avg Accumulated loss: 5.05, 				 Precision: 17.97
	 Minibatch 16 / 391, loss: 4.31, 				 Avg Accumulated loss: 5.01, 				 Precision: 12.50
	 Minibatch 17 / 391, loss: 4.46, 				 Avg Accumulated loss: 4.97, 				 Precision: 8.59
	 Minibatch 18 / 391, loss: 2.50, 				 Avg Accumulated loss: 4.84, 				 Precision: 11.72
	 Minibatch 19 / 391, loss: 2.86, 				 Avg Accumulated loss: 4.73, 				 Precision: 9.38
	 Minibatch 20 / 391, loss: 3.04, 				 Avg Accumulated loss: 4.65, 				 Precision: 7.03
	 Minibatch 21 / 391, loss: 2.69, 				 Avg Accumulated loss: 4.55, 				 Precision: 5.47
	 Minibatch 22 / 391, loss: 2.58, 				 Avg Accumulated loss: 4.47, 				 Precision: 11.72
	 Minibatch 23 / 391, loss: 2.52, 				 Avg Accumulated loss: 4.38, 				 Precision: 13.28
	 Minibatch 24 / 391, loss: 2.60, 				 Avg Accumulated loss: 4.31, 				 Precision: 14.84
	 Minibatch 25 / 391, loss: 2.44, 				 Avg Accumulated loss: 4.23, 				 Precision: 10.94
	 Minibatch 26 / 391, loss: 2.34, 				 Avg Accumulated loss: 4.16, 				 Precision: 10.94
	 Minibatch 27 / 391, loss: 2.39, 				 Avg Accumulated loss: 4.09, 				 Precision: 9.38
	 Minibatch 28 / 391, loss: 2.40, 				 Avg Accumulated loss: 4.03, 				 Precision: 12.50
	 Minibatch 29 / 391, loss: 2.42, 				 Avg Accumulated loss: 3.98, 				 Precision: 11.72
	 Minibatch 30 / 391, loss: 2.40, 				 Avg Accumulated loss: 3.93, 				 Precision: 13.28
	 Minibatch 31 / 391, loss: 2.39, 				 Avg Accumulated loss: 3.88, 				 Precision: 13.28
	 Minibatch 32 / 391, loss: 2.45, 				 Avg Accumulated loss: 3.83, 				 Precision: 14.06
	 Minibatch 33 / 391, loss: 2.25, 				 Avg Accumulated loss: 3.78, 				 Precision: 17.19
	 Minibatch 34 / 391, loss: 2.26, 				 Avg Accumulated loss: 3.74, 				 Precision: 9.38
	 Minibatch 35 / 391, loss: 2.27, 				 Avg Accumulated loss: 3.70, 				 Precision: 13.28
	 Minibatch 36 / 391, loss: 2.24, 				 Avg Accumulated loss: 3.66, 				 Precision: 14.06
	 Minibatch 37 / 391, loss: 2.22, 				 Avg Accumulated loss: 3.62, 				 Precision: 16.41
	 Minibatch 38 / 391, loss: 2.20, 				 Avg Accumulated loss: 3.58, 				 Precision: 16.41
	 Minibatch 39 / 391, loss: 2.16, 				 Avg Accumulated loss: 3.54, 				 Precision: 16.41
	 Minibatch 40 / 391, loss: 2.22, 				 Avg Accumulated loss: 3.51, 				 Precision: 17.97
	 Minibatch 41 / 391, loss: 2.18, 				 Avg Accumulated loss: 3.48, 				 Precision: 19.53
	 Minibatch 42 / 391, loss: 2.20, 				 Avg Accumulated loss: 3.45, 				 Precision: 21.09
	 Minibatch 43 / 391, loss: 2.13, 				 Avg Accumulated loss: 3.42, 				 Precision: 20.31
	 Minibatch 44 / 391, loss: 2.17, 				 Avg Accumulated loss: 3.39, 				 Precision: 21.09
	 Minibatch 45 / 391, loss: 2.21, 				 Avg Accumulated loss: 3.36, 				 Precision: 14.84
	 Minibatch 46 / 391, loss: 2.14, 				 Avg Accumulated loss: 3.34, 				 Precision: 16.41
	 Minibatch 47 / 391, loss: 2.18, 				 Avg Accumulated loss: 3.31, 				 Precision: 15.62
