model name	: Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz
Sun Oct 27 14:28:37 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX TIT...  On   | 00000000:05:00.0 Off |                  N/A |
| 38%   53C    P2    74W / 189W |    383MiB /  6083MiB |      8%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     16588      C   python3                                      370MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.46, 				 Avg Accumulated loss: 2.46, 				 Precision: 11.72
	 Minibatch 2 / 391, loss: 3.72, 				 Avg Accumulated loss: 3.09, 				 Precision: 7.03
	 Minibatch 3 / 391, loss: 4.72, 				 Avg Accumulated loss: 3.63, 				 Precision: 14.06
	 Minibatch 4 / 391, loss: 7.10, 				 Avg Accumulated loss: 4.50, 				 Precision: 7.03
	 Minibatch 5 / 391, loss: 4.36, 				 Avg Accumulated loss: 4.47, 				 Precision: 9.38
	 Minibatch 6 / 391, loss: 4.96, 				 Avg Accumulated loss: 4.55, 				 Precision: 10.16
	 Minibatch 7 / 391, loss: 3.38, 				 Avg Accumulated loss: 4.38, 				 Precision: 11.72
	 Minibatch 8 / 391, loss: 3.81, 				 Avg Accumulated loss: 4.31, 				 Precision: 14.84
	 Minibatch 9 / 391, loss: 3.50, 				 Avg Accumulated loss: 4.22, 				 Precision: 15.62
	 Minibatch 10 / 391, loss: 4.24, 				 Avg Accumulated loss: 4.22, 				 Precision: 7.81
	 Minibatch 11 / 391, loss: 3.43, 				 Avg Accumulated loss: 4.15, 				 Precision: 11.72
	 Minibatch 12 / 391, loss: 4.34, 				 Avg Accumulated loss: 4.17, 				 Precision: 7.81
	 Minibatch 13 / 391, loss: 3.45, 				 Avg Accumulated loss: 4.11, 				 Precision: 13.28
	 Minibatch 14 / 391, loss: 5.16, 				 Avg Accumulated loss: 4.19, 				 Precision: 7.03
	 Minibatch 15 / 391, loss: 3.14, 				 Avg Accumulated loss: 4.12, 				 Precision: 12.50
	 Minibatch 16 / 391, loss: 3.99, 				 Avg Accumulated loss: 4.11, 				 Precision: 7.81
	 Minibatch 17 / 391, loss: 2.50, 				 Avg Accumulated loss: 4.02, 				 Precision: 13.28
	 Minibatch 18 / 391, loss: 2.78, 				 Avg Accumulated loss: 3.95, 				 Precision: 11.72
	 Minibatch 19 / 391, loss: 2.85, 				 Avg Accumulated loss: 3.89, 				 Precision: 5.47
	 Minibatch 20 / 391, loss: 3.11, 				 Avg Accumulated loss: 3.85, 				 Precision: 12.50
	 Minibatch 21 / 391, loss: 3.49, 				 Avg Accumulated loss: 3.83, 				 Precision: 10.94
	 Minibatch 22 / 391, loss: 2.89, 				 Avg Accumulated loss: 3.79, 				 Precision: 7.81
	 Minibatch 23 / 391, loss: 2.94, 				 Avg Accumulated loss: 3.75, 				 Precision: 10.16
	 Minibatch 24 / 391, loss: 2.56, 				 Avg Accumulated loss: 3.70, 				 Precision: 13.28
	 Minibatch 25 / 391, loss: 2.29, 				 Avg Accumulated loss: 3.65, 				 Precision: 22.66
	 Minibatch 26 / 391, loss: 2.39, 				 Avg Accumulated loss: 3.60, 				 Precision: 14.84
	 Minibatch 27 / 391, loss: 2.98, 				 Avg Accumulated loss: 3.58, 				 Precision: 16.41
	 Minibatch 28 / 391, loss: 2.54, 				 Avg Accumulated loss: 3.54, 				 Precision: 14.06
	 Minibatch 29 / 391, loss: 2.44, 				 Avg Accumulated loss: 3.50, 				 Precision: 10.94
	 Minibatch 30 / 391, loss: 2.65, 				 Avg Accumulated loss: 3.47, 				 Precision: 4.69
	 Minibatch 31 / 391, loss: 2.55, 				 Avg Accumulated loss: 3.44, 				 Precision: 10.94
	 Minibatch 32 / 391, loss: 2.36, 				 Avg Accumulated loss: 3.41, 				 Precision: 14.06
	 Minibatch 33 / 391, loss: 2.49, 				 Avg Accumulated loss: 3.38, 				 Precision: 12.50
	 Minibatch 34 / 391, loss: 2.34, 				 Avg Accumulated loss: 3.35, 				 Precision: 14.84
	 Minibatch 35 / 391, loss: 2.39, 				 Avg Accumulated loss: 3.32, 				 Precision: 15.62
	 Minibatch 36 / 391, loss: 2.25, 				 Avg Accumulated loss: 3.29, 				 Precision: 16.41
	 Minibatch 37 / 391, loss: 2.46, 				 Avg Accumulated loss: 3.27, 				 Precision: 17.97
	 Minibatch 38 / 391, loss: 2.31, 				 Avg Accumulated loss: 3.25, 				 Precision: 13.28
	 Minibatch 39 / 391, loss: 2.26, 				 Avg Accumulated loss: 3.22, 				 Precision: 17.19
	 Minibatch 40 / 391, loss: 2.13, 				 Avg Accumulated loss: 3.19, 				 Precision: 21.09
	 Minibatch 41 / 391, loss: 2.12, 				 Avg Accumulated loss: 3.17, 				 Precision: 21.88
	 Minibatch 42 / 391, loss: 2.34, 				 Avg Accumulated loss: 3.15, 				 Precision: 15.62
	 Minibatch 43 / 391, loss: 2.18, 				 Avg Accumulated loss: 3.13, 				 Precision: 18.75
	 Minibatch 44 / 391, loss: 2.17, 				 Avg Accumulated loss: 3.10, 				 Precision: 24.22
	 Minibatch 45 / 391, loss: 2.21, 				 Avg Accumulated loss: 3.08, 				 Precision: 13.28
	 Minibatch 46 / 391, loss: 2.39, 				 Avg Accumulated loss: 3.07, 				 Precision: 11.72
	 Minibatch 47 / 391, loss: 2.21, 				 Avg Accumulated loss: 3.05, 				 Precision: 17.19
	 Minibatch 48 / 391, loss: 2.15, 				 Avg Accumulated loss: 3.03, 				 Precision: 13.28
	 Minibatch 49 / 391, loss: 2.19, 				 Avg Accumulated loss: 3.01, 				 Precision: 13.28
	 Minibatch 50 / 391, loss: 2.14, 				 Avg Accumulated loss: 3.00, 				 Precision: 14.06
	 Minibatch 51 / 391, loss: 2.17, 				 Avg Accumulated loss: 2.98, 				 Precision: 17.97
	 Minibatch 52 / 391, loss: 2.25, 				 Avg Accumulated loss: 2.97, 				 Precision: 14.84
	 Minibatch 53 / 391, loss: 2.07, 				 Avg Accumulated loss: 2.95, 				 Precision: 22.66
	 Minibatch 54 / 391, loss: 2.17, 				 Avg Accumulated loss: 2.94, 				 Precision: 21.09
	 Minibatch 55 / 391, loss: 2.27, 				 Avg Accumulated loss: 2.92, 				 Precision: 15.62
	 Minibatch 56 / 391, loss: 2.13, 				 Avg Accumulated loss: 2.91, 				 Precision: 21.09
	 Minibatch 57 / 391, loss: 2.19, 				 Avg Accumulated loss: 2.90, 				 Precision: 23.44
	 Minibatch 58 / 391, loss: 2.04, 				 Avg Accumulated loss: 2.88, 				 Precision: 26.56
	 Minibatch 59 / 391, loss: 2.08, 				 Avg Accumulated loss: 2.87, 				 Precision: 25.78
	 Minibatch 60 / 391, loss: 2.32, 				 Avg Accumulated loss: 2.86, 				 Precision: 14.84
	 Minibatch 61 / 391, loss: 2.15, 				 Avg Accumulated loss: 2.85, 				 Precision: 12.50
	 Minibatch 62 / 391, loss: 2.20, 				 Avg Accumulated loss: 2.84, 				 Precision: 19.53
	 Minibatch 63 / 391, loss: 2.09, 				 Avg Accumulated loss: 2.83, 				 Precision: 21.88
	 Minibatch 64 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.81, 				 Precision: 26.56
	 Minibatch 65 / 391, loss: 2.08, 				 Avg Accumulated loss: 2.80, 				 Precision: 25.78
	 Minibatch 66 / 391, loss: 2.16, 				 Avg Accumulated loss: 2.79, 				 Precision: 25.00
