model name	: Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz
Sun Oct 27 14:28:44 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX TIT...  On   | 00000000:02:00.0 Off |                  N/A |
| 22%   51C    P2    70W / 250W |    588MiB / 12212MiB |      5%      Default |
+-------------------------------+----------------------+----------------------+
|   1  GeForce GTX TIT...  On   | 00000000:83:00.0 Off |                  N/A |
| 22%   31C    P8    16W / 250W |      1MiB / 12212MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     30487      C   python3                                      576MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 50 / 391, loss: 1.96, 				 Avg Accumulated loss: 2.62, 				 Precision: 23.44
	 Minibatch 51 / 391, loss: 1.96, 				 Avg Accumulated loss: 2.60, 				 Precision: 21.09
	 Minibatch 52 / 391, loss: 2.10, 				 Avg Accumulated loss: 2.59, 				 Precision: 17.97
	 Minibatch 53 / 391, loss: 2.21, 				 Avg Accumulated loss: 2.59, 				 Precision: 19.53
	 Minibatch 54 / 391, loss: 2.10, 				 Avg Accumulated loss: 2.58, 				 Precision: 18.75
	 Minibatch 55 / 391, loss: 1.92, 				 Avg Accumulated loss: 2.57, 				 Precision: 25.78
	 Minibatch 56 / 391, loss: 1.98, 				 Avg Accumulated loss: 2.55, 				 Precision: 25.78
	 Minibatch 57 / 391, loss: 2.00, 				 Avg Accumulated loss: 2.54, 				 Precision: 21.09
	 Minibatch 58 / 391, loss: 2.19, 				 Avg Accumulated loss: 2.54, 				 Precision: 26.56
	 Minibatch 59 / 391, loss: 2.02, 				 Avg Accumulated loss: 2.53, 				 Precision: 18.75
	 Minibatch 60 / 391, loss: 2.10, 				 Avg Accumulated loss: 2.52, 				 Precision: 18.75
	 Minibatch 61 / 391, loss: 1.94, 				 Avg Accumulated loss: 2.51, 				 Precision: 22.66
	 Minibatch 62 / 391, loss: 2.00, 				 Avg Accumulated loss: 2.51, 				 Precision: 23.44
	 Minibatch 63 / 391, loss: 1.96, 				 Avg Accumulated loss: 2.50, 				 Precision: 22.66
	 Minibatch 64 / 391, loss: 2.00, 				 Avg Accumulated loss: 2.49, 				 Precision: 23.44
	 Minibatch 65 / 391, loss: 1.90, 				 Avg Accumulated loss: 2.48, 				 Precision: 29.69
	 Minibatch 66 / 391, loss: 1.93, 				 Avg Accumulated loss: 2.47, 				 Precision: 24.22
	 Minibatch 67 / 391, loss: 1.94, 				 Avg Accumulated loss: 2.46, 				 Precision: 25.00
	 Minibatch 68 / 391, loss: 1.91, 				 Avg Accumulated loss: 2.46, 				 Precision: 25.00
	 Minibatch 69 / 391, loss: 2.12, 				 Avg Accumulated loss: 2.45, 				 Precision: 22.66
	 Minibatch 70 / 391, loss: 1.94, 				 Avg Accumulated loss: 2.44, 				 Precision: 28.12
	 Minibatch 71 / 391, loss: 1.92, 				 Avg Accumulated loss: 2.44, 				 Precision: 25.78
	 Minibatch 72 / 391, loss: 1.97, 				 Avg Accumulated loss: 2.43, 				 Precision: 28.12
	 Minibatch 73 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.42, 				 Precision: 24.22
	 Minibatch 74 / 391, loss: 2.14, 				 Avg Accumulated loss: 2.42, 				 Precision: 19.53
	 Minibatch 75 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.42, 				 Precision: 21.88
	 Minibatch 76 / 391, loss: 1.91, 				 Avg Accumulated loss: 2.41, 				 Precision: 28.12
	 Minibatch 77 / 391, loss: 1.81, 				 Avg Accumulated loss: 2.40, 				 Precision: 28.91
	 Minibatch 78 / 391, loss: 2.14, 				 Avg Accumulated loss: 2.40, 				 Precision: 19.53
	 Minibatch 79 / 391, loss: 1.99, 				 Avg Accumulated loss: 2.39, 				 Precision: 27.34
	 Minibatch 80 / 391, loss: 1.97, 				 Avg Accumulated loss: 2.39, 				 Precision: 24.22
	 Minibatch 81 / 391, loss: 2.13, 				 Avg Accumulated loss: 2.38, 				 Precision: 21.88
	 Minibatch 82 / 391, loss: 2.01, 				 Avg Accumulated loss: 2.38, 				 Precision: 24.22
	 Minibatch 83 / 391, loss: 1.99, 				 Avg Accumulated loss: 2.38, 				 Precision: 29.69
	 Minibatch 84 / 391, loss: 1.92, 				 Avg Accumulated loss: 2.37, 				 Precision: 21.09
	 Minibatch 85 / 391, loss: 2.11, 				 Avg Accumulated loss: 2.37, 				 Precision: 23.44
	 Minibatch 86 / 391, loss: 2.04, 				 Avg Accumulated loss: 2.36, 				 Precision: 21.88
	 Minibatch 87 / 391, loss: 2.04, 				 Avg Accumulated loss: 2.36, 				 Precision: 28.91
	 Minibatch 88 / 391, loss: 1.96, 				 Avg Accumulated loss: 2.35, 				 Precision: 30.47
	 Minibatch 89 / 391, loss: 1.85, 				 Avg Accumulated loss: 2.35, 				 Precision: 25.00
	 Minibatch 90 / 391, loss: 1.97, 				 Avg Accumulated loss: 2.34, 				 Precision: 28.91
	 Minibatch 91 / 391, loss: 1.90, 				 Avg Accumulated loss: 2.34, 				 Precision: 24.22
	 Minibatch 92 / 391, loss: 1.93, 				 Avg Accumulated loss: 2.34, 				 Precision: 27.34
	 Minibatch 93 / 391, loss: 1.97, 				 Avg Accumulated loss: 2.33, 				 Precision: 23.44
	 Minibatch 94 / 391, loss: 1.91, 				 Avg Accumulated loss: 2.33, 				 Precision: 26.56
	 Minibatch 95 / 391, loss: 1.90, 				 Avg Accumulated loss: 2.32, 				 Precision: 27.34
	 Minibatch 96 / 391, loss: 1.91, 				 Avg Accumulated loss: 2.32, 				 Precision: 28.91
	 Minibatch 97 / 391, loss: 1.94, 				 Avg Accumulated loss: 2.31, 				 Precision: 25.00
	 Minibatch 98 / 391, loss: 2.07, 				 Avg Accumulated loss: 2.31, 				 Precision: 22.66
	 Minibatch 99 / 391, loss: 1.92, 				 Avg Accumulated loss: 2.31, 				 Precision: 23.44
	 Minibatch 100 / 391, loss: 1.90, 				 Avg Accumulated loss: 2.30, 				 Precision: 29.69
	 Minibatch 101 / 391, loss: 1.84, 				 Avg Accumulated loss: 2.30, 				 Precision: 21.09
	 Minibatch 102 / 391, loss: 1.82, 				 Avg Accumulated loss: 2.29, 				 Precision: 26.56
	 Minibatch 103 / 391, loss: 1.89, 				 Avg Accumulated loss: 2.29, 				 Precision: 28.91
	 Minibatch 104 / 391, loss: 1.95, 				 Avg Accumulated loss: 2.29, 				 Precision: 28.12
	 Minibatch 105 / 391, loss: 1.98, 				 Avg Accumulated loss: 2.28, 				 Precision: 31.25
	 Minibatch 106 / 391, loss: 1.83, 				 Avg Accumulated loss: 2.28, 				 Precision: 32.03
	 Minibatch 107 / 391, loss: 1.87, 				 Avg Accumulated loss: 2.28, 				 Precision: 26.56
	 Minibatch 108 / 391, loss: 1.86, 				 Avg Accumulated loss: 2.27, 				 Precision: 28.91
	 Minibatch 109 / 391, loss: 1.84, 				 Avg Accumulated loss: 2.27, 				 Precision: 23.44
	 Minibatch 110 / 391, loss: 1.93, 				 Avg Accumulated loss: 2.27, 				 Precision: 26.56
	 Minibatch 111 / 391, loss: 1.73, 				 Avg Accumulated loss: 2.26, 				 Precision: 30.47
	 Minibatch 112 / 391, loss: 1.96, 				 Avg Accumulated loss: 2.26, 				 Precision: 25.78
	 Minibatch 113 / 391, loss: 1.94, 				 Avg Accumulated loss: 2.26, 				 Precision: 22.66
	 Minibatch 114 / 391, loss: 1.86, 				 Avg Accumulated loss: 2.25, 				 Precision: 33.59
	 Minibatch 115 / 391, loss: 1.99, 				 Avg Accumulated loss: 2.25, 				 Precision: 21.88
	 Minibatch 116 / 391, loss: 1.94, 				 Avg Accumulated loss: 2.25, 				 Precision: 32.03
	 Minibatch 117 / 391, loss: 1.92, 				 Avg Accumulated loss: 2.24, 				 Precision: 24.22
	 Minibatch 118 / 391, loss: 1.90, 				 Avg Accumulated loss: 2.24, 				 Precision: 26.56
	 Minibatch 119 / 391, loss: 1.90, 				 Avg Accumulated loss: 2.24, 				 Precision: 25.00
	 Minibatch 120 / 391, loss: 1.90, 				 Avg Accumulated loss: 2.24, 				 Precision: 27.34
	 Minibatch 121 / 391, loss: 1.90, 				 Avg Accumulated loss: 2.23, 				 Precision: 32.03
	 Minibatch 122 / 391, loss: 1.99, 				 Avg Accumulated loss: 2.23, 				 Precision: 24.22
	 Minibatch 123 / 391, loss: 1.82, 				 Avg Accumulated loss: 2.23, 				 Precision: 28.91
	 Minibatch 124 / 391, loss: 1.94, 				 Avg Accumulated loss: 2.22, 				 Precision: 31.25
	 Minibatch 125 / 391, loss: 1.93, 				 Avg Accumulated loss: 2.22, 				 Precision: 30.47
	 Minibatch 126 / 391, loss: 1.75, 				 Avg Accumulated loss: 2.22, 				 Precision: 37.50
	 Minibatch 127 / 391, loss: 1.78, 				 Avg Accumulated loss: 2.22, 				 Precision: 26.56
	 Minibatch 128 / 391, loss: 1.78, 				 Avg Accumulated loss: 2.21, 				 Precision: 28.12
	 Minibatch 129 / 391, loss: 1.88, 				 Avg Accumulated loss: 2.21, 				 Precision: 25.78
	 Minibatch 130 / 391, loss: 1.97, 				 Avg Accumulated loss: 2.21, 				 Precision: 28.12
	 Minibatch 131 / 391, loss: 1.78, 				 Avg Accumulated loss: 2.20, 				 Precision: 32.03
	 Minibatch 132 / 391, loss: 1.81, 				 Avg Accumulated loss: 2.20, 				 Precision: 31.25
	 Minibatch 133 / 391, loss: 1.84, 				 Avg Accumulated loss: 2.20, 				 Precision: 30.47
	 Minibatch 134 / 391, loss: 1.85, 				 Avg Accumulated loss: 2.20, 				 Precision: 36.72
	 Minibatch 135 / 391, loss: 1.91, 				 Avg Accumulated loss: 2.19, 				 Precision: 32.03
	 Minibatch 136 / 391, loss: 1.76, 				 Avg Accumulated loss: 2.19, 				 Precision: 32.03
	 Minibatch 137 / 391, loss: 1.78, 				 Avg Accumulated loss: 2.19, 				 Precision: 28.91
	 Minibatch 138 / 391, loss: 1.84, 				 Avg Accumulated loss: 2.19, 				 Precision: 30.47
	 Minibatch 139 / 391, loss: 1.84, 				 Avg Accumulated loss: 2.18, 				 Precision: 34.38
	 Minibatch 140 / 391, loss: 1.78, 				 Avg Accumulated loss: 2.18, 				 Precision: 29.69
	 Minibatch 141 / 391, loss: 1.91, 				 Avg Accumulated loss: 2.18, 				 Precision: 26.56
	 Minibatch 142 / 391, loss: 1.72, 				 Avg Accumulated loss: 2.17, 				 Precision: 35.16
	 Minibatch 143 / 391, loss: 1.81, 				 Avg Accumulated loss: 2.17, 				 Precision: 28.12
	 Minibatch 144 / 391, loss: 1.79, 				 Avg Accumulated loss: 2.17, 				 Precision: 29.69
	 Minibatch 145 / 391, loss: 1.80, 				 Avg Accumulated loss: 2.17, 				 Precision: 28.12
	 Minibatch 146 / 391, loss: 1.88, 				 Avg Accumulated loss: 2.16, 				 Precision: 25.78
	 Minibatch 147 / 391, loss: 1.87, 				 Avg Accumulated loss: 2.16, 				 Precision: 30.47
	 Minibatch 148 / 391, loss: 1.83, 				 Avg Accumulated loss: 2.16, 				 Precision: 27.34
	 Minibatch 149 / 391, loss: 1.71, 				 Avg Accumulated loss: 2.16, 				 Precision: 35.16
	 Minibatch 150 / 391, loss: 1.88, 				 Avg Accumulated loss: 2.16, 				 Precision: 29.69
	 Minibatch 151 / 391, loss: 1.81, 				 Avg Accumulated loss: 2.15, 				 Precision: 36.72
	 Minibatch 152 / 391, loss: 1.79, 				 Avg Accumulated loss: 2.15, 				 Precision: 29.69
	 Minibatch 153 / 391, loss: 1.82, 				 Avg Accumulated loss: 2.15, 				 Precision: 28.91
