model name	: Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz
Sun Oct 27 14:28:42 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX 108...  On   | 00000000:02:00.0 Off |                  N/A |
| 26%   41C    P2    58W / 250W |    670MiB / 11178MiB |      4%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     12464      C   python3                                      659MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 52 / 391, loss: 2.09, 				 Avg Accumulated loss: 2.43, 				 Precision: 29.69
	 Minibatch 53 / 391, loss: 1.93, 				 Avg Accumulated loss: 2.42, 				 Precision: 33.59
	 Minibatch 54 / 391, loss: 2.00, 				 Avg Accumulated loss: 2.41, 				 Precision: 21.88
	 Minibatch 55 / 391, loss: 1.90, 				 Avg Accumulated loss: 2.40, 				 Precision: 25.78
	 Minibatch 56 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.39, 				 Precision: 16.41
	 Minibatch 57 / 391, loss: 2.00, 				 Avg Accumulated loss: 2.39, 				 Precision: 21.09
	 Minibatch 58 / 391, loss: 1.98, 				 Avg Accumulated loss: 2.38, 				 Precision: 28.12
	 Minibatch 59 / 391, loss: 1.95, 				 Avg Accumulated loss: 2.37, 				 Precision: 25.78
	 Minibatch 60 / 391, loss: 1.96, 				 Avg Accumulated loss: 2.37, 				 Precision: 25.00
	 Minibatch 61 / 391, loss: 1.92, 				 Avg Accumulated loss: 2.36, 				 Precision: 32.81
	 Minibatch 62 / 391, loss: 1.91, 				 Avg Accumulated loss: 2.35, 				 Precision: 28.12
	 Minibatch 63 / 391, loss: 1.95, 				 Avg Accumulated loss: 2.35, 				 Precision: 19.53
	 Minibatch 64 / 391, loss: 1.78, 				 Avg Accumulated loss: 2.34, 				 Precision: 31.25
	 Minibatch 65 / 391, loss: 1.94, 				 Avg Accumulated loss: 2.33, 				 Precision: 28.91
	 Minibatch 66 / 391, loss: 1.89, 				 Avg Accumulated loss: 2.32, 				 Precision: 31.25
	 Minibatch 67 / 391, loss: 1.73, 				 Avg Accumulated loss: 2.31, 				 Precision: 29.69
	 Minibatch 68 / 391, loss: 2.08, 				 Avg Accumulated loss: 2.31, 				 Precision: 19.53
	 Minibatch 69 / 391, loss: 1.85, 				 Avg Accumulated loss: 2.30, 				 Precision: 32.03
	 Minibatch 70 / 391, loss: 2.03, 				 Avg Accumulated loss: 2.30, 				 Precision: 23.44
	 Minibatch 71 / 391, loss: 1.87, 				 Avg Accumulated loss: 2.29, 				 Precision: 21.88
	 Minibatch 72 / 391, loss: 2.15, 				 Avg Accumulated loss: 2.29, 				 Precision: 25.00
	 Minibatch 73 / 391, loss: 2.12, 				 Avg Accumulated loss: 2.29, 				 Precision: 24.22
	 Minibatch 74 / 391, loss: 1.78, 				 Avg Accumulated loss: 2.28, 				 Precision: 31.25
	 Minibatch 75 / 391, loss: 2.08, 				 Avg Accumulated loss: 2.28, 				 Precision: 25.78
	 Minibatch 76 / 391, loss: 1.96, 				 Avg Accumulated loss: 2.28, 				 Precision: 28.12
	 Minibatch 77 / 391, loss: 1.92, 				 Avg Accumulated loss: 2.27, 				 Precision: 28.91
	 Minibatch 78 / 391, loss: 1.84, 				 Avg Accumulated loss: 2.27, 				 Precision: 26.56
	 Minibatch 79 / 391, loss: 1.84, 				 Avg Accumulated loss: 2.26, 				 Precision: 31.25
